Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Region_Code,Model_Code,Source_Type_Code,Quarter,Season,Is_Quarter_End,Is_Year_End,Years_Since_2015,Delivery_Rate,Price_Per_Km,Price_Per_kWh,CO2_Per_1k_Deliveries,Production_Surplus,Stations_Per_1k_Deliveries,Deliveries_Lag_1,Production_Lag_1,Deliveries_Lag_2,Production_Lag_2,Deliveries_Lag_3,Production_Lag_3,Roll3_Mean,Roll3_Std,MoM_Growth,YoY_Growth,Log_Estimated_Deliveries,Log_Production_Units,Log_CO2_Saved_tons,Log_Charging_Stations,Region_Asia,Region_Europe,Region_Middle East,Region_North America,Model_Cybertruck,Model_Model 3,Model_Model S,Model_Model X,Model_Model Y,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Q_1,Q_2,Q_3,Q_4
2015,1,Asia,Cybertruck,11325.0,11887.0,54449.08,60,339,575.88,Estimated (Region),6902,0,0,0,1,Winter,0,0,0,0.9527,160.62,907.48,50.8503,562.0,609.4481,9857.0,10539.5,9860.5,10551.5,9862.5,10563.0,9850.833333333332,3302.8423869766402,0.0023,0.0095,9.33485624667375,9.38328476695754,6.357634272608504,8.839711378703475,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
2015,2,Asia,Cybertruck,13254.0,14878.0,88864.06,75,432,858.86,Estimated (Region),5902,0,0,0,1,Winter,0,0,0,0.8908,205.7,1184.85,64.8001,1624.0,445.2995,11325.0,11887.0,9860.5,10551.5,9862.5,10563.0,11325.0,3302.8423869766402,0.1703,0.0095,9.492130118723125,9.607706101827697,6.756769585298035,8.683215975240689,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
2015,3,Asia,Cybertruck,10257.0,11441.0,65107.47,100,581,893.9,Interpolated (Month),4024,0,0,1,1,Spring,1,0,0,0.8965,112.06,651.07,87.1502,1184.0,392.3174,13254.0,14878.0,11325.0,11887.0,9862.5,10563.0,12289.5,1364.0089809088502,-0.2261,0.0095,9.235813167949214,9.345046074828474,6.796711980188812,8.300280189852664,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
2015,4,Asia,Cybertruck,15221.0,15951.0,112686.63,60,341,778.55,Estimated (Region),3130,0,0,0,2,Spring,0,0,0,0.9542,330.46,1878.11,51.1497,730.0,205.6369,10257.0,11441.0,13254.0,14878.0,11325.0,11887.0,11612.0,1518.9730083184493,0.484,0.0095,9.630497028827337,9.67733949220162,6.65871683012256,8.049107721326406,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2015,5,Asia,Cybertruck,6406.0,7281.0,107577.61,75,448,430.48,Interpolated (Month),11708,0,0,1,2,Spring,0,0,0,0.8798,240.13,1434.37,67.1995,875.0,1827.6616,15221.0,15951.0,10257.0,11441.0,13254.0,14878.0,12910.666666666666,2499.746453809533,-0.5791,0.0095,8.765146421639022,8.893160828735379,6.067221159507229,9.368113055848724,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2015,6,Asia,Cybertruck,7201.0,8144.0,114461.07,75,414,447.18,Estimated (Region),6322,0,0,0,2,Summer,1,0,0,0.8842,276.48,1526.15,62.0997,943.0,877.9336,6406.0,7281.0,15221.0,15951.0,10257.0,11441.0,10628.0,4419.195288737532,0.1241,0.0095,8.882114044208821,9.005159521036145,6.105194937435004,8.751949058058614,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
2015,7,Asia,Cybertruck,113.0,118.0,115067.04,120,709,12.02,Interpolated (Month),14580,0,0,1,3,Summer,0,0,0,0.9576,162.29,958.89,106.3717,5.0,129026.5487,7201.0,8144.0,6406.0,7281.0,15221.0,15951.0,9609.333333333334,4876.0750951285945,-0.9843,0.0095,4.736198448394496,4.77912349311153,2.5664866367804233,9.587474590316285,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
2015,8,Asia,Cybertruck,10222.0,11128.0,77930.19,60,331,507.52,Official (Quarter),7022,0,0,2,3,Summer,0,0,0,0.9186,235.44,1298.84,49.6498,906.0,686.9497,113.0,118.0,7201.0,8144.0,6406.0,7281.0,4573.333333333333,3883.160611323377,89.4602,0.0095,9.232395362757014,9.317309592973425,6.231504546081922,8.856945756159021,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
2015,9,Asia,Cybertruck,10844.0,12086.0,59807.92,60,356,579.07,Interpolated (Month),8849,0,0,1,3,Autumn,1,0,0,0.8972,168.0,996.8,53.4,1242.0,816.0273,10222.0,11128.0,113.0,118.0,7201.0,8144.0,5845.333333333333,5189.060062606073,0.0608,0.0095,9.291459423260974,9.399885773859458,6.363148785913227,9.088172738001974,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
2015,10,Asia,Cybertruck,5675.0,6461.0,117974.08,120,716,609.49,Estimated (Region),8690,0,0,0,4,Autumn,0,0,0,0.8783,164.77,983.12,107.3991,786.0,1531.2775,10844.0,12086.0,10222.0,11128.0,113.0,118.0,7059.666666666667,6024.023101992001,-0.4767,0.0095,8.644002038279933,8.773694146384443,6.4142619134002254,9.07004328643746,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
